,Name,Price,xP_f1,Pts_per_milion,type
0,Verstappen,27.0,33.5051873015873,1.2409328630217518,Driver
1,Leclerc,21.1,9.673334360554701,0.45845186542913274,Driver
2,Perez,18.1,22.52022657004831,1.2442114127098514,Driver
3,Sainz,17.2,14.418242622950823,0.8382699199390014,Driver
4,Alonso,8.5,17.526524441132644,2.061944051897958,Driver
5,Hamilton,23.7,10.083052542372883,0.42544525495244234,Driver
6,Russell,18.6,10.027552542372884,0.5391157280845637,Driver
7,Stroll,7.6,6.619298162729659,0.870960284569692,Driver
8,Ocon,9.3,0.5488814814814811,0.05901951413779366,Driver
9,Gasly,8.2,0.4279814814814813,0.052192863595302605,Driver
10,Bottas,7.5,-2.6330685039370083,-0.3510758005249344,Driver
11,Norris,11.1,-2.5459685039370084,-0.22936653188621697,Driver
12,Zhou,4.9,-5.022485714285714,-1.0249970845481047,Driver
13,Magnussen,6.7,-4.7617018372703415,-0.7107017667567673,Driver
14,Hulkenberg,4.2,-5.19591794871795,-1.2371233211233215,Driver
15,Piastri,6.9,-4.318519047619047,-0.6258723257418908,Driver
16,Albon,5.5,-3.786966666666666,-0.6885393939393938,Driver
17,Tsunoda,4.8,-4.533651851851853,-0.9445108024691361,Driver
18,De Vries,5.0,-4.462651851851852,-0.8925303703703704,Driver
19,Sargeant,4.0,-4.161285185185186,-1.0403212962962964,Driver
20,Red Bull Racing,27.3,77.41360387163562,2.835663145481158,Constructor
21,Aston Martin,6.8,44.599900803862305,6.558808941744457,Constructor
22,Ferrari,22.1,45.502627033505526,2.0589423997061322,Constructor
23,Mercedes,25.1,40.673162884745764,1.6204447364440542,Constructor
24,Alpine,10.0,15.464872262962963,1.5464872262962963,Constructor
25,McLaren,9.0,-3.9796399415560537,-0.4421822157284504,Constructor
26,Alfa Romeo,6.2,-3.3785259982227216,-0.544923548100439,Constructor
27,Williams,5.1,-5.46000759185185,-1.0705897238925197,Constructor
28,AlphaTauri,6.3,-5.651765703703707,-0.8971056672545566,Constructor
29,Haas,5.3,-5.191172415988292,-0.9794664935826966,Constructor
